scenario,par_rele,TDS_principal,Pickup_principal,TDS_respaldo,Pickup_respaldo
cenario_1,1,0.1165919378399849,0.04392508789896965,0.39625516533851624,0.057777076959609985
cenario_1,2,0.14314979314804077,0.06415123492479324,0.12278103828430176,0.26494061946868896
cenario_1,3,0.06634367257356644,0.5633641481399536,0.4724070727825165,0.27165818214416504
cenario_1,4,0.0531545914709568,0.539164662361145,0.5457755923271179,0.19603663682937622
cenario_1,5,0.023012226447463036,0.5178794860839844,0.14332135021686554,0.5347101092338562
cenario_1,6,0.6333106756210327,0.15312667191028595,0.06775684654712677,0.5365219712257385
cenario_1,7,0.6711454391479492,0.13982464373111725,0.03570759668946266,0.6259565353393555
cenario_1,8,0.7855227589607239,0.1267290860414505,0.043985310941934586,0.5392467975616455
cenario_1,9,0.7574413418769836,0.12837134301662445,0.05468057468533516,0.6325199604034424
cenario_1,10,0.054455552250146866,0.5257449746131897,0.05076262727379799,0.648210346698761
cenario_1,11,0.08601430803537369,0.662156343460083,0.7584359645843506,0.10956776142120361
cenario_1,12,0.07506195455789566,0.6271043419837952,0.6754812002182007,0.12522754073143005
cenario_1,13,0.03962335363030434,0.6603537201881409,0.07583583891391754,0.6545321345329285
cenario_1,14,0.6449476480484009,0.14823000133037567,0.07655543088912964,0.46797916293144226
cenario_1,15,0.6860330104827881,0.13816581666469574,0.054219502955675125,0.7523593306541443
cenario_1,16,0.7307855486869812,0.22465835511684418,0.048987869173288345,0.7228541970252991
cenario_1,17,0.6729885935783386,0.25615283846855164,0.05986936762928963,0.7652047872543335
cenario_1,18,0.09141633659601212,0.46984508633613586,0.05801892653107643,0.5829870104789734
cenario_1,19,0.06328821927309036,0.8374714851379395,0.6727912425994873,0.24314996600151062
cenario_1,20,0.020120894536376,0.5713779330253601,0.060863468796014786,0.6348844170570374
cenario_1,21,0.06003377214074135,0.7987444996833801,0.0540698803961277,0.8519881963729858
cenario_1,22,0.06541595607995987,0.6384500861167908,0.030385034158825874,0.7581238150596619
cenario_1,23,0.061827246099710464,0.7358236908912659,0.03635305538773537,0.8506765961647034
cenario_1,24,0.015002882108092308,0.7457792162895203,0.06645573675632477,0.8287946581840515
cenario_1,25,0.1795450747013092,0.6000853776931763,0.12478529661893845,0.7264170050621033
cenario_1,26,0.11412138491868973,0.29582449793815613,0.6719347834587097,0.08120793104171753
cenario_1,27,0.17293034493923187,0.7235567569732666,0.32878610491752625,0.7630636692047119
cenario_1,28,0.11706797033548355,0.7352975010871887,0.35250768065452576,0.06809550523757935
cenario_1,29,0.16806691884994507,0.23952440917491913,0.11132322251796722,0.3272724449634552
cenario_1,30,0.08506713062524796,0.9739305377006531,0.3009878396987915,0.783943772315979
cenario_1,31,0.07301989942789078,1.0017491579055786,0.08511316776275635,0.3236701190471649
cenario_1,32,0.3933336138725281,0.08287028223276138,0.0677858293056488,0.4508289098739624
cenario_1,33,0.5127688646316528,0.04101194068789482,0.05871478095650673,0.4276767671108246
cenario_1,34,0.057792458683252335,0.6569538712501526,0.10685209929943085,0.6459987759590149
cenario_1,35,0.7789052724838257,0.0577038936316967,0.05243491008877754,0.4327152371406555
cenario_1,36,0.6980603337287903,0.07360411435365677,0.059606511145830154,0.4565408527851105
cenario_1,37,0.42239776253700256,0.2487669140100479,0.05154066160321236,0.6521801352500916
cenario_1,38,0.3639925420284271,0.23735842108726501,0.10927388072013855,0.41473013162612915
cenario_1,39,0.055647823959589005,0.418877512216568,0.5766858458518982,0.08442232012748718
cenario_1,40,0.05698785558342934,0.4313737750053406,0.06854519248008728,0.6197198629379272
cenario_1,41,0.08583185821771622,0.4071798324584961,0.1911051720380783,0.5024883151054382
cenario_1,42,0.20364223420619965,0.4093862473964691,0.0830921083688736,0.44015318155288696
cenario_1,43,0.183962881565094,0.43861860036849976,0.012231500819325447,0.6878308653831482
cenario_1,44,0.05733994022011757,0.6121970415115356,0.3664597272872925,0.22082680463790894
cenario_1,45,0.615682065486908,0.03359202668070793,0.04957971349358559,0.5346851944923401
cenario_1,46,0.5821582078933716,0.05731923505663872,0.06856003403663635,0.5715100765228271
cenario_1,47,0.11560753732919693,0.8692309856414795,1.9378032684326172,0.19621455669403076
cenario_1,48,0.10157815366983414,0.337271124124527,0.07462631165981293,0.4797399044036865
cenario_1,49,0.09485442191362381,0.8770591020584106,0.1279125064611435,0.8859957456588745
cenario_1,50,0.08975926786661148,0.46744105219841003,0.7130857706069946,0.11208009719848633
cenario_1,51,0.055933449417352676,0.9037762880325317,0.10412846505641937,0.8945592045783997
cenario_1,52,0.7227869033813477,0.11364943534135818,0.06794649362564087,0.8496894836425781
cenario_1,53,0.7516850233078003,0.10577408224344254,0.0588054396212101,0.3930835723876953
cenario_1,54,0.08859000355005264,0.9257474541664124,1.3777800798416138,0.20926105976104736
cenario_1,55,0.07954845577478409,0.4676368534564972,0.11281552910804749,0.5202159285545349
cenario_1,56,0.0537879504263401,0.9132700562477112,0.06670166552066803,0.9407660365104675
cenario_1,57,0.08975882083177567,0.5393905639648438,0.8540686368942261,0.06083217263221741
